Pitcher,PitcherId,Batter,BatterId,TaggedPitchType,RelSpeed,VertApprAngle,HorzApprAngle,ExitSpeed,Distance
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Fastball,91.67489,-4.630264,0.550357,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Fastball,91.87743,-5.750425,2.29483,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Fastball,91.84578,-5.02049,-0.170449,79.89,263.75092
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Fastball,91.8475,-5.765504,0.732244,103.92561,387.69557
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,82.33977,-7.131383,-3.403698,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,80.7086,-8.514746,-2.030374,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,80.41745,-7.881887,-2.194031,67.47628,11.46677
,,,,,,,,,
"Quigley, Stephen",1000132354,"Hayes, Sterling",8900099,Fastball,91.8304,-4.908862,1.035138,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,ChangeUp,80.8561,-7.778567,0.520624,98.58388,145.75091
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Padilla, Bryan",1000122972,Fastball,88.80931,-6.484993,1.974715,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Padilla, Bryan",1000122972,Fastball,89.47118,-5.468492,0.418849,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Padilla, Bryan",1000122972,ChangeUp,80.03569,-6.023327,0.5319,42.86263,5.11727
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,ChangeUp,79.76706,-8.325653,1.361693,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Fastball,89.48633,-6.429719,0.358457,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Fastball,89.38734,-6.716034,2.620946,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Fastball,89.13038,-5.348511,1.00976,95.28001,280.95129
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,90.15477,-6.024403,1.327912,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,90.64739,-5.245899,-0.962512,91.70631,276.38248
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,90.83194,-4.22677,-1.172109,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,91.09906,-5.942303,-1.364729,,
,,,,,,,,,
